,channel,number_subscribers,action,date
0,Обсуждаем фильмы. Поиском кино не занимаемся,1358,репостнул запись,"19 Jan, 10:02"
1,🎬 КиноДед,1409,репостнул запись,"18 Jan, 23:33"
2,супер8,22276,упомянул канал,"18 Jan, 22:48"
3,Стримми,13152,упомянул канал,"18 Jan, 22:35"
4,Обсуждаем фильмы. Поиском кино не занимаемся,1359,упомянул канал,"18 Jan, 21:02"
5,Обсуждаем фильмы. Поиском кино не занимаемся,1361,репостнул запись,"18 Jan, 20:04"
6,"Море, солнце, sklifonelove_ ☀️🌊",332,упомянул канал,"18 Jan, 18:25"
7,"Море, солнце, sklifonelove_ ☀️🌊",332,упомянул канал,"18 Jan, 18:25"
8,МАКСИМ АВЕРИН ️,21487,упомянул канал,"18 Jan, 18:25"
9,ВЕСТИ,143899,упомянул канал,"18 Jan, 18:22"
10,Обсуждаем фильмы. Поиском кино не занимаемся,1362,репостнул запись,"18 Jan, 18:03"
11,Россия 1,45476,упомянул канал,"18 Jan, 17:51"
12,YktRePublic,4433,репостнул запись,"18 Jan, 17:32"
13,Што это было,4704,упомянул канал,"18 Jan, 17:17"
14,Krasilishe,100,репостнул запись,"18 Jan, 16:51"
15,Krasilishe,100,упомянул канал,"18 Jan, 16:51"
16,Обсуждаем фильмы. Поиском кино не занимаемся,1365,упомянул канал,"18 Jan, 16:25"
17,kiraderen - это мандарин,2070,репостнул запись,"18 Jan, 15:45"
18,Обсуждаем фильмы. Поиском кино не занимаемся,1365,репостнул запись,"18 Jan, 15:32"
19,Кинопоиск Видеоэссе,23094,упомянул канал,"18 Jan, 15:23"
20,Кинопоиск | Игры,22428,упомянул канал,"18 Jan, 15:01"
21,MediaTalk GPM,620,упомянул канал,"18 Jan, 14:27"
22,Обсуждаем фильмы. Поиском кино не занимаемся,1366,упомянул канал,"18 Jan, 14:21"
23,Обсуждаем фильмы. Поиском кино не занимаемся,1366,репостнул запись,"18 Jan, 14:21"
24,🔻НА ЯЗЫКЕ МАРКЕТИНГА🔻,1823,упомянул канал,"18 Jan, 14:16"
