,date,time,subscribers,unsubscribed
0,"Чт, 18 Jan",11:29,+204,-300
1,"Чт, 18 Jan",11:00,+373,-366
2,"Чт, 18 Jan",10:00,+333,-150
3,"Чт, 18 Jan",09:00,+211,-133
4,"Чт, 18 Jan",08:00,+152,-90
5,"Чт, 18 Jan",07:00,+95,-97
6,"Чт, 18 Jan",06:00,+84,-64
7,"Чт, 18 Jan",05:00,+47,-55
8,"Чт, 18 Jan",04:00,+51,-55
9,"Чт, 18 Jan",03:00,+85,-50
10,"Чт, 18 Jan",02:00,+140,-85
11,"Чт, 18 Jan",00:00,+390,-228
12,"Ср, 17 Jan",23:00,+482,-322
13,"Ср, 17 Jan",22:00,+519,-431
14,"Ср, 17 Jan",21:00,+504,-401
15,"Ср, 17 Jan",20:00,+467,-254
16,"Ср, 17 Jan",19:00,+453,-256
17,"Ср, 17 Jan",18:00,+523,-470
18,"Ср, 17 Jan",17:00,+522,-455
19,"Ср, 17 Jan",16:00,+535,-444
20,"Ср, 17 Jan",15:00,+497,-379
21,"Ср, 17 Jan",14:00,+452,-310
22,"Ср, 17 Jan",12:00,+396,-452
23,"Ср, 17 Jan",11:00,+303,-133
24,"Ср, 17 Jan",10:00,+304,-151
25,"Ср, 17 Jan",09:00,+181,-142
26,"Ср, 17 Jan",08:00,+145,-98
27,"Ср, 17 Jan",07:00,+110,-102
28,"Ср, 17 Jan",06:00,+68,-70
29,"Ср, 17 Jan",05:00,+55,-44
30,"Ср, 17 Jan",04:00,+50,-50
31,"Ср, 17 Jan",03:00,+103,-71
32,"Ср, 17 Jan",02:00,+126,-90
33,"Ср, 17 Jan",01:00,+281,-159
34,"Ср, 17 Jan",00:00,+459,-191
35,"Вт, 16 Jan",23:00,+498,-290
36,"Вт, 16 Jan",22:00,+544,-403
37,"Вт, 16 Jan",21:00,+499,-322
38,"Вт, 16 Jan",20:00,+515,-471
39,"Вт, 16 Jan",19:00,+516,-372
40,"Вт, 16 Jan",18:00,+461,-371
41,"Вт, 16 Jan",17:00,+499,-476
42,"Вт, 16 Jan",16:00,+441,-242
43,"Вт, 16 Jan",15:00,+411,-239
44,"Вт, 16 Jan",14:00,+459,-403
45,"Вт, 16 Jan",13:00,+449,-333
46,"Вт, 16 Jan",12:00,+410,-363
47,"Вт, 16 Jan",11:00,+313,-278
48,"Вт, 16 Jan",10:00,+261,-148
49,"Вт, 16 Jan",09:00,+207,-110
50,"Вт, 16 Jan",08:00,+147,-127
51,"Вт, 16 Jan",07:00,+104,-79
52,"Вт, 16 Jan",06:00,+67,-76
53,"Вт, 16 Jan",05:00,+45,-58
54,"Вт, 16 Jan",04:00,+44,-39
55,"Вт, 16 Jan",03:00,+81,-61
56,"Вт, 16 Jan",02:00,+146,-89
57,"Вт, 16 Jan",01:00,+258,-132
58,"Вт, 16 Jan",00:00,+400,-184
59,"Пн, 15 Jan",23:00,+490,-264
60,"Пн, 15 Jan",22:00,+550,-440
61,"Пн, 15 Jan",21:00,+486,-279
62,"Пн, 15 Jan",20:00,+476,-403
63,"Пн, 15 Jan",19:00,+475,-239
64,"Пн, 15 Jan",18:00,+520,-311
65,"Пн, 15 Jan",17:00,+524,-410
66,"Пн, 15 Jan",16:00,+487,-266
67,"Пн, 15 Jan",15:00,+441,-222
68,"Пн, 15 Jan",14:00,+396,-367
69,"Пн, 15 Jan",13:00,+452,-387
70,"Пн, 15 Jan",12:00,+388,-418
71,"Пн, 15 Jan",11:00,+336,-149
72,"Пн, 15 Jan",10:00,+264,-150
73,"Пн, 15 Jan",09:00,+193,-129
74,"Пн, 15 Jan",08:00,+128,-89
75,"Пн, 15 Jan",07:00,+92,-78
76,"Пн, 15 Jan",06:00,+84,-47
77,"Пн, 15 Jan",05:00,+47,-42
78,"Пн, 15 Jan",04:00,+54,-44
79,"Пн, 15 Jan",02:00,+172,-90
80,"Пн, 15 Jan",00:00,+400,-199
81,"Вс, 14 Jan",23:00,+565,-223
82,"Вс, 14 Jan",22:00,+260,-431
83,"Вс, 14 Jan",21:00,+515,-275
84,"Вс, 14 Jan",20:00,+480,-367
85,"Вс, 14 Jan",19:00,+410,-346
86,"Вс, 14 Jan",18:00,+441,-398
87,"Вс, 14 Jan",17:00,+457,-277
88,"Вс, 14 Jan",16:00,+413,-411
89,"Вс, 14 Jan",15:00,+366,-164
90,"Вс, 14 Jan",14:00,+393,-200
91,"Вс, 14 Jan",13:00,+388,-242
92,"Вс, 14 Jan",12:00,+294,-373
93,"Вс, 14 Jan",11:00,+290,-163
94,"Вс, 14 Jan",10:00,+214,-108
95,"Вс, 14 Jan",09:00,+142,-85
96,"Вс, 14 Jan",08:00,+74,-51
97,"Вс, 14 Jan",07:00,+65,-50
98,"Вс, 14 Jan",06:00,+58,-47
99,"Вс, 14 Jan",05:00,+60,-39
100,"Вс, 14 Jan",04:00,+72,-44
101,"Вс, 14 Jan",03:00,+137,-68
102,"Вс, 14 Jan",02:00,+181,-101
103,"Вс, 14 Jan",01:00,+305,-159
104,"Вс, 14 Jan",00:00,+426,-191
105,"Сб, 13 Jan",23:00,+521,-218
106,"Сб, 13 Jan",22:00,+494,-440
107,"Сб, 13 Jan",21:00,+528,-227
108,"Сб, 13 Jan",20:00,+477,-227
109,"Сб, 13 Jan",19:00,+471,-260
110,"Сб, 13 Jan",18:00,+477,-383
111,"Сб, 13 Jan",17:00,+500,-194
112,"Сб, 13 Jan",16:00,+501,-257
113,"Сб, 13 Jan",15:00,+500,-394
114,"Сб, 13 Jan",14:00,+437,-230
115,"Сб, 13 Jan",13:00,+418,-402
116,"Сб, 13 Jan",12:00,+472,-394
117,"Сб, 13 Jan",11:00,+285,-143
118,"Сб, 13 Jan",10:00,+236,-152
119,"Сб, 13 Jan",09:00,+161,-100
120,"Сб, 13 Jan",08:00,+105,-83
121,"Сб, 13 Jan",07:00,+65,-54
122,"Сб, 13 Jan",06:00,+51,-50
123,"Сб, 13 Jan",05:00,+49,-46
124,"Сб, 13 Jan",04:00,+68,-44
125,"Сб, 13 Jan",03:00,+108,-60
126,"Сб, 13 Jan",02:00,+234,-122
127,"Сб, 13 Jan",01:00,+404,-187
128,"Сб, 13 Jan",00:00,+475,-242
129,"Пт, 12 Jan",23:00,+545,-261
130,"Пт, 12 Jan",22:00,+608,-443
131,"Пт, 12 Jan",21:00,+637,-275
132,"Пт, 12 Jan",20:00,+614,-289
133,"Пт, 12 Jan",19:00,+634,-451
134,"Пт, 12 Jan",18:00,+663,-342
135,"Пт, 12 Jan",17:00,+590,-430
136,"Пт, 12 Jan",16:00,+637,-453
137,"Пт, 12 Jan",15:00,+568,-252
138,"Пт, 12 Jan",14:00,+530,-393
139,"Пт, 12 Jan",13:00,+508,-264
140,"Пт, 12 Jan",12:00,+471,-402
141,"Пт, 12 Jan",11:00,+348,-155
142,"Пт, 12 Jan",10:00,+297,-125
143,"Пт, 12 Jan",09:00,+220,-112
144,"Пт, 12 Jan",08:00,+173,-111
145,"Пт, 12 Jan",07:00,+101,-71
146,"Пт, 12 Jan",06:00,+70,-67
147,"Пт, 12 Jan",05:00,+67,-47
148,"Пт, 12 Jan",04:00,+59,-53
149,"Пт, 12 Jan",03:00,+83,-74
150,"Пт, 12 Jan",02:00,+156,-97
151,"Пт, 12 Jan",01:00,+273,-154
152,"Пт, 12 Jan",00:00,+420,-237
153,"Чт, 11 Jan",23:00,+542,-342
154,"Чт, 11 Jan",22:00,+589,-428
155,"Чт, 11 Jan",21:00,+551,-373
156,"Чт, 11 Jan",20:00,+623,-401
157,"Чт, 11 Jan",19:00,+563,-339
158,"Чт, 11 Jan",18:00,+592,-486
159,"Чт, 11 Jan",17:00,+557,-232
160,"Чт, 11 Jan",16:00,+539,-274
161,"Чт, 11 Jan",15:00,+503,-449
162,"Чт, 11 Jan",14:00,+502,-446
163,"Чт, 11 Jan",13:00,+486,-244
164,"Чт, 11 Jan",12:00,+426,-451
165,"Чт, 11 Jan",11:00,+317,-162
166,"Чт, 11 Jan",10:00,+271,-139
167,"Чт, 11 Jan",09:00,+206,-140
168,"Чт, 11 Jan",08:00,+141,-78
169,"Чт, 11 Jan",07:00,+101,-73
170,"Чт, 11 Jan",06:00,+69,-58
171,"Чт, 11 Jan",05:00,+42,-49
172,"Чт, 11 Jan",04:00,+72,-55
173,"Чт, 11 Jan",03:00,+82,-83
174,"Чт, 11 Jan",02:00,+158,-100
175,"Чт, 11 Jan",01:00,+312,-161
176,"Чт, 11 Jan",00:00,+416,-210
177,"Ср, 10 Jan",23:00,+535,-253
178,"Ср, 10 Jan",22:00,+617,-494
179,"Ср, 10 Jan",21:00,+596,-296
180,"Ср, 10 Jan",20:00,+544,-353
181,"Ср, 10 Jan",19:00,+561,-421
182,"Ср, 10 Jan",18:00,+570,-283
183,"Ср, 10 Jan",17:00,+583,-450
184,"Ср, 10 Jan",16:00,+588,-404
185,"Ср, 10 Jan",15:00,+607,-268
186,"Ср, 10 Jan",14:00,+466,-393
187,"Ср, 10 Jan",13:00,+375,-226
188,"Ср, 10 Jan",12:00,+397,-221
189,"Ср, 10 Jan",11:00,+329,-414
190,"Ср, 10 Jan",10:00,+270,-171
191,"Ср, 10 Jan",09:00,+215,-126
192,"Ср, 10 Jan",08:00,+129,-101
193,"Ср, 10 Jan",07:00,+69,-78
194,"Ср, 10 Jan",06:00,+71,-61
195,"Ср, 10 Jan",05:00,+53,-64
196,"Ср, 10 Jan",04:00,+73,-60
197,"Ср, 10 Jan",03:00,+95,-71
198,"Ср, 10 Jan",02:00,+188,-132
199,"Ср, 10 Jan",01:00,+304,-181
200,"Ср, 10 Jan",00:00,+493,-279
201,"Вт, 9 Jan",23:00,+507,-335
202,"Вт, 9 Jan",22:00,+592,-437
203,"Вт, 9 Jan",21:00,+560,-247
204,"Вт, 9 Jan",20:00,+557,-300
205,"Вт, 9 Jan",19:00,+551,-518
206,"Вт, 9 Jan",18:00,+538,-264
207,"Вт, 9 Jan",17:00,+618,-282
208,"Вт, 9 Jan",16:00,+563,-429
209,"Вт, 9 Jan",15:00,+519,-288
210,"Вт, 9 Jan",14:00,+500,-400
211,"Вт, 9 Jan",13:00,+413,-272
212,"Вт, 9 Jan",12:00,+333,-424
213,"Вт, 9 Jan",11:00,+318,-403
214,"Вт, 9 Jan",10:00,+275,-154
215,"Вт, 9 Jan",09:00,+200,-136
216,"Вт, 9 Jan",08:00,+136,-99
217,"Вт, 9 Jan",07:00,+99,-81
218,"Вт, 9 Jan",06:00,+56,-61
219,"Вт, 9 Jan",05:00,+57,-45
220,"Вт, 9 Jan",04:00,+45,-49
221,"Вт, 9 Jan",03:00,+79,-64
222,"Вт, 9 Jan",02:00,+160,-104
223,"Вт, 9 Jan",01:00,+252,-159
224,"Вт, 9 Jan",00:00,+365,-189
225,"Пн, 8 Jan",23:00,+447,-244
226,"Пн, 8 Jan",22:00,+530,-447
227,"Пн, 8 Jan",21:00,+447,-425
228,"Пн, 8 Jan",20:00,+462,-371
229,"Пн, 8 Jan",19:00,+491,-253
230,"Пн, 8 Jan",18:00,+413,-363
231,"Пн, 8 Jan",17:00,+423,-371
232,"Пн, 8 Jan",16:00,+398,-248
233,"Пн, 8 Jan",15:00,+339,-342
234,"Пн, 8 Jan",14:00,+362,-249
235,"Пн, 8 Jan",13:00,+324,-355
236,"Пн, 8 Jan",12:00,+279,-235
237,"Пн, 8 Jan",11:00,+207,-302
238,"Пн, 8 Jan",10:00,+163,-132
239,"Пн, 8 Jan",09:00,+116,-164
240,"Пн, 8 Jan",08:00,+89,-109
241,"Пн, 8 Jan",07:00,+55,-45
242,"Пн, 8 Jan",06:00,+42,-48
243,"Пн, 8 Jan",05:00,+38,-45
244,"Пн, 8 Jan",04:00,+87,-69
245,"Пн, 8 Jan",03:00,+119,-85
246,"Пн, 8 Jan",02:00,+196,-115
247,"Пн, 8 Jan",00:00,+418,-195
248,"Вс, 7 Jan",23:00,+506,-244
249,"Вс, 7 Jan",22:00,+526,-377
250,"Вс, 7 Jan",21:00,+496,-308
251,"Вс, 7 Jan",20:00,+469,-430
252,"Вс, 7 Jan",19:00,+409,-207
253,"Вс, 7 Jan",18:00,+438,-230
254,"Вс, 7 Jan",17:00,+378,-196
255,"Вс, 7 Jan",16:00,+394,-251
256,"Вс, 7 Jan",15:00,+398,-360
257,"Вс, 7 Jan",14:00,+393,-229
258,"Вс, 7 Jan",13:00,+334,-232
259,"Вс, 7 Jan",12:00,+285,-331
260,"Вс, 7 Jan",11:00,+207,-334
261,"Вс, 7 Jan",10:00,+148,-97
262,"Вс, 7 Jan",09:00,+127,-85
263,"Вс, 7 Jan",08:00,+87,-63
264,"Вс, 7 Jan",07:00,+51,-40
265,"Вс, 7 Jan",06:00,+48,-48
266,"Вс, 7 Jan",05:00,+58,-56
267,"Вс, 7 Jan",04:00,+78,-60
268,"Вс, 7 Jan",03:00,+127,-80
269,"Вс, 7 Jan",02:00,+187,-88
270,"Вс, 7 Jan",01:00,+341,-186
271,"Вс, 7 Jan",00:00,+392,-214
272,"Сб, 6 Jan",23:00,+474,-233
273,"Сб, 6 Jan",22:00,+478,-376
274,"Сб, 6 Jan",21:00,+442,-259
275,"Сб, 6 Jan",20:00,+453,-396
276,"Сб, 6 Jan",19:00,+418,-177
277,"Сб, 6 Jan",18:00,+365,-171
278,"Сб, 6 Jan",17:00,+369,-180
279,"Сб, 6 Jan",16:00,+353,-202
280,"Сб, 6 Jan",15:00,+337,-254
281,"Сб, 6 Jan",14:00,+354,-312
282,"Сб, 6 Jan",13:00,+291,-319
283,"Сб, 6 Jan",12:00,+255,-233
284,"Сб, 6 Jan",11:00,+207,-324
285,"Сб, 6 Jan",10:00,+149,-88
286,"Сб, 6 Jan",09:00,+102,-85
287,"Сб, 6 Jan",08:00,+88,-70
288,"Сб, 6 Jan",07:00,+47,-44
289,"Сб, 6 Jan",06:00,+44,-37
290,"Сб, 6 Jan",05:00,+62,-31
291,"Сб, 6 Jan",04:00,+72,-51
292,"Сб, 6 Jan",03:00,+121,-81
293,"Сб, 6 Jan",02:00,+248,-119
294,"Сб, 6 Jan",00:00,+413,-190
295,"Пт, 5 Jan",23:00,+497,-244
296,"Пт, 5 Jan",22:00,+528,-416
297,"Пт, 5 Jan",21:00,+501,-280
298,"Пт, 5 Jan",20:00,+438,-372
299,"Пт, 5 Jan",19:00,+477,-226
300,"Пт, 5 Jan",18:00,+407,-398
301,"Пт, 5 Jan",17:00,+423,-194
302,"Пт, 5 Jan",16:00,+349,-183
303,"Пт, 5 Jan",15:00,+407,-226
304,"Пт, 5 Jan",14:00,+388,-219
305,"Пт, 5 Jan",13:00,+345,-332
306,"Пт, 5 Jan",12:00,+273,-233
307,"Пт, 5 Jan",11:00,+232,-307
308,"Пт, 5 Jan",10:00,+184,-110
309,"Пт, 5 Jan",09:00,+120,-82
310,"Пт, 5 Jan",08:00,+92,-85
311,"Пт, 5 Jan",07:00,+68,-64
312,"Пт, 5 Jan",06:00,+62,-33
313,"Пт, 5 Jan",05:00,+48,-47
314,"Пт, 5 Jan",04:00,+86,-63
315,"Пт, 5 Jan",03:00,+153,-68
316,"Пт, 5 Jan",02:00,+256,-129
317,"Пт, 5 Jan",01:00,+357,-181
318,"Пт, 5 Jan",00:00,+587,-199
319,"Чт, 4 Jan",23:00,+570,-256
320,"Чт, 4 Jan",22:00,+502,-416
321,"Чт, 4 Jan",21:00,+456,-268
322,"Чт, 4 Jan",20:00,+462,-375
323,"Чт, 4 Jan",19:00,+438,-273
324,"Чт, 4 Jan",18:00,+459,-396
325,"Чт, 4 Jan",17:00,+405,-203
326,"Чт, 4 Jan",16:00,+363,-223
327,"Чт, 4 Jan",15:00,+395,-365
328,"Чт, 4 Jan",14:00,+393,-345
329,"Чт, 4 Jan",13:00,+324,-357
330,"Чт, 4 Jan",12:00,+300,-309
331,"Чт, 4 Jan",11:00,+241,-333
332,"Чт, 4 Jan",10:00,+188,-113
333,"Чт, 4 Jan",09:00,+129,-71
334,"Чт, 4 Jan",08:00,+102,-52
335,"Чт, 4 Jan",06:00,+46,-43
336,"Чт, 4 Jan",05:00,+43,-42
337,"Чт, 4 Jan",04:00,+70,-65
338,"Чт, 4 Jan",03:00,+109,-90
339,"Чт, 4 Jan",02:00,+215,-121
340,"Чт, 4 Jan",00:00,+439,-230
341,"Ср, 3 Jan",23:00,+445,-243
342,"Ср, 3 Jan",22:00,+456,-443
343,"Ср, 3 Jan",21:00,+460,-266
344,"Ср, 3 Jan",20:00,+468,-422
345,"Ср, 3 Jan",19:00,+482,-269
346,"Ср, 3 Jan",18:00,+441,-422
347,"Ср, 3 Jan",17:00,+435,-201
348,"Ср, 3 Jan",16:00,+377,-385
349,"Ср, 3 Jan",15:00,+435,-407
350,"Ср, 3 Jan",14:00,+383,-354
351,"Ср, 3 Jan",13:00,+394,-268
352,"Ср, 3 Jan",12:00,+289,-336
353,"Ср, 3 Jan",11:00,+212,-306
354,"Ср, 3 Jan",10:00,+149,-103
355,"Ср, 3 Jan",09:00,+107,-87
356,"Ср, 3 Jan",08:00,+65,-73
357,"Ср, 3 Jan",07:00,+69,-47
358,"Ср, 3 Jan",06:00,+51,-40
359,"Ср, 3 Jan",05:00,+56,-49
360,"Ср, 3 Jan",04:00,+65,-59
361,"Ср, 3 Jan",03:00,+124,-77
362,"Ср, 3 Jan",02:00,+195,-135
363,"Ср, 3 Jan",01:00,+284,-181
364,"Ср, 3 Jan",00:00,+418,-210
365,"Вт, 2 Jan",23:00,+478,-271
